name,release_date,steamspy_tags,median_playtime,price
Grand Theft Auto 2,2008-01-04,Action;Classic;Open World,4,0.0
Bully: Scholarship Edition,2008-10-21,Open World;Action;Adventure,225,9.99
Grand Theft Auto IV,2008-12-02,Open World;Action;Bowling,634,19.99
Grand Theft Auto: Episodes from Liberty City,2010-04-12,Open World;Action;Multiplayer,112,14.99
Culpa Innata,2008-01-18,Adventure;RPG;Sci-fi,0,6.99
Sacred Gold,2008-07-09,RPG;Action;Hack and Slash,404,6.99
Darkstar One,2008-02-13,Action;Space;Sci-fi,0,6.99
Jack Keane,2008-06-27,Adventure;Point & Click;Comedy,0,6.99
FlatOut: Ultimate Carnage,2008-08-26,Racing;Destruction;Multiplayer,71,16.99
Exodus from the Earth,2008-10-24,Action;FPS;Shooter,0,10.99
Perimeter 2: New Earth,2009-02-10,Strategy;RTS,0,10.99
SlamIt Pinball Big Score,2009-02-23,Casual;Pinball,2,3.99
Ankh 2: Heart of Osiris,2009-06-16,Adventure;Point & Click;Comedy,0,10.99
Ankh 3: Battle of the Gods,2009-06-16,Adventure;Point & Click,0,10.99
BC Kings,2009-06-16,Strategy;RTS,0,3.99
Port Royale 2,2009-06-16,Strategy;Trading;Pirates,203,2.99
9th Company: Roots Of Terror,2009-12-03,Strategy;RTS;Military,0,6.99
PuzzleQuest: Challenge of the Warlords,2008-01-29,Puzzle;Match 3;Casual,52,6.99
Prison Tycoon 3™: Lockdown,2008-01-29,Strategy;Simulation,0,6.99
18 Wheels of Steel: American Long Haul,2008-01-29,Simulation;Racing;Driving,0,6.99
Hunting Unlimited™ 2008,2008-01-29,Action;Strategy;Adventure,0,4.99
Mahjongg Investigations: Under Suspicion,2008-07-29,Casual;Puzzle,0,5.99
Ride! Carnival Tycoon,2008-07-29,Simulation;Management,0,4.99
Sprint Cars Road to Knoxville,2008-07-29,Racing,0,4.99
Midnight Outlaw: 6 Hours to SunUp,2008-07-29,Racing,0,4.99
Drakensang,2009-03-09,RPG;Fantasy;Party-Based RPG,0,6.99
Mission Runway,2009-07-17,Simulation;Casual,0,4.99
Overlord™: Raising Hell,2009-11-12,RPG;Action;Villain Protagonist,256,6.99
Rise of the Argonauts,2009-01-07,RPG;Action;Adventure,147,4.99
Damnation,2009-05-22,Action;Adventure;Steampunk,0,6.99
Overlord II,2009-06-24,RPG;Villain Protagonist;Fantasy,119,6.99
Operation Flashpoint: Dragon Rising,2009-10-08,Action;FPS;Tactical,417,6.99
Ninja Reflex: Steamworks Edition,2008-03-21,Indie;Casual;Ninja,121,3.99
America's Army 3,2009-06-17,Action;Free to Play;FPS,13,0.0
Unreal 2: The Awakening,2008-03-17,Action;FPS;Sci-fi,682,8.99
Unreal Tournament 3 Black,2009-03-05,FPS;Action;Multiplayer,239,13.99
Unreal Tournament 2004: Editor's Choice Edition,2004-03-17,FPS;Arena Shooter;Action,496,8.99
Unreal Tournament: Game of the Year Edition,2008-03-17,Classic;FPS;Action,924,5.99
Unreal Gold,2008-03-17,Classic;FPS;Action,41,5.99
Prince of Persia: Warrior Within™,2009-08-27,Action;Adventure;Parkour,312,8.59
Far Cry®,2008-04-01,FPS;Action;Classic,229,8.59
Prince of Persia: The Two Thrones™,2009-08-27,Action;Adventure;Platformer,205,8.59
Tom Clancy's Rainbow Six® Vegas,2008-04-09,Action;FPS;Tactical,0,8.59
Tom Clancy's Splinter Cell®,2008-04-01,Stealth;Action;Third Person,28,4.29
Tom Clancy's Splinter Cell Chaos Theory®,2009-08-27,Stealth;Action;Third Person,22,8.59
Tom Clancy's Splinter Cell Double Agent®,2009-02-13,Stealth;Action;Third Person,0,8.59
Prince of Persia®: The Sands of Time,2009-08-27,Action;Adventure;Parkour,167,8.59
Tom Clancy's Ghost Recon® Desert Siege™,2008-07-15,Action;FPS;Tactical,2,4.29
Tom Clancy's Rainbow Six Lockdown™,2009-08-27,Action;FPS;Tactical,20,4.29
Rayman Raving Rabbids™,2008-06-13,Adventure;Action;Psychological Horror,29,4.29
Assassin's Creed™: Director's Cut Edition,2008-04-09,Action;Adventure;Open World,476,8.59
Tom Clancy's Rainbow Six® Vegas 2,2008-04-16,Action;Tactical;FPS,1936,8.59
Beyond Good and Evil™,2008-05-13,Adventure;Female Protagonist;Action,448,4.29
Petz® Horsez® 2,2009-08-27,Simulation;Horses;Family Friendly,0,4.29
Heroes of Might & Magic V,2008-05-13,Strategy;Turn-Based Strategy;Fantasy,396,8.59
Brothers in Arms: Road to Hill 30™,2008-05-13,Action;FPS;World War II,69,4.29
Silent Hunter®: Wolves of the Pacific,2009-08-27,Simulation;Submarine;World War II,134,8.59
Silent Hunter® III,2008-06-13,Simulation;Naval;World War II,0,4.29
Silent Hunter®: Wolves of the Pacific U-Boat Missions,2009-08-27,Simulation;Submarine;World War II,0,4.29
Cold Fear™,2008-05-13,Horror;Action;Survival Horror,0,4.29
Tom Clancy's Ghost Recon®,2008-07-15,Tactical;FPS;Action,476,8.59
IL-2 Sturmovik: 1946,2008-06-13,Simulation;Flight;World War II,1812,8.69
Heroes of Might & Magic V: Tribes of the East,2008-10-10,Strategy;Turn-Based Strategy;Turn-Based,6679,8.59
Heroes of Might & Magic V: Hammers of Fate,2008-10-10,Strategy;Turn-Based Strategy;Turn-Based,19,8.59
Brothers in Arms: Hell's Highway™,2008-10-08,Action;World War II;FPS,346,8.59
Harvest: Massive Encounter,2009-01-23,Strategy;Indie;Tower Defense,0,5.79
The Wonderful End of the World,2008-07-17,Indie;Casual;Action,0,6.99
AaAaAA!!! - A Reckless Disregard for Gravity,2009-09-03,Action;Indie;First-Person,151,6.99
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,2011-11-23,Indie;Action;First-Person,136,6.99
"Warhammer 40,000: Dawn of War II",2009-02-18,Strategy;Warhammer 40K;RTS,293,14.99
Oddworld: Abe's Oddysee®,2008-08-28,Adventure;Platformer;Classic,217,1.99
Oddworld: Abe's Exoddus®,2008-08-28,Adventure;Platformer;2D,67,1.99
Oddworld: Munch's Oddysee,2010-12-20,Adventure;Action;Strategy,3,3.99
Oddworld: Stranger's Wrath HD,2010-12-20,Adventure;Action;Singleplayer,98,6.99
Planet Busters,2008-06-30,Indie;Casual,0,5.99
7 Wonders II,2008-06-10,Casual;Puzzle;Match 3,0,6.99
Luxor Amun Rising,2008-06-10,Casual,0,5.99
Luxor 2,2008-06-10,Casual,0,5.99
Luxor 3,2008-06-10,Casual;Match 3;Puzzle,102,5.99
Little Farm,2008-06-10,Casual;Agriculture;Puzzle,0,5.99
Luxor,2008-06-10,Casual;Match 3,0,5.99
Discovery! A Seek and Find Adventure,2008-07-29,Casual;Hidden Object,0,6.99
Samantha Swift and the Hidden Roses of Athena,2008-10-31,Casual;Hidden Object;Adventure,0,5.99
7 Wonders: Treasures of Seven,2008-11-14,Casual;Match 3;Puzzle,0,6.99
Luxor: Quest for the Afterlife,2008-12-15,Casual;Puzzle;Match 3,0,5.99
Samantha Swift and the Golden Touch,2009-04-29,Casual;Hidden Object;Adventure,0,5.99
Virtual Villagers: A New Home,2008-05-12,Casual;Simulation,0,5.99
Virtual Villagers: The Lost Children,2008-05-12,Casual;Simulation,0,5.99
Plant Tycoon,2008-05-12,Casual;Simulation;Management,0,5.99
Fish Tycoon,2008-05-12,Casual;Simulation;Management,0,5.99
Virtual Villagers - The Secret City,2008-05-28,Casual;Simulation,0,5.99
Virtual Families,2009-05-06,Simulation;Casual,0,7.49
F.E.A.R. 2: Project Origin,2009-02-12,Horror;FPS;Action,367,9.99
Chaos Theory,2008-05-22,Indie;Casual;Puzzle,0,1.99
Trials 2: Second Edition,2008-05-28,Racing;Indie;Sports,382,5.99
Monster Trucks Nitro,2009-01-29,Racing;Indie;Sports,0,16.99
Insecticide Part 1,2008-07-01,Adventure;Action;Female Protagonist,265,0.79
Velvet Assassin,2009-05-01,Stealth;Action;Female Protagonist,10,1.69
Legendary,2008-12-01,Action;FPS;Shooter,90,1.69
Sid Meier's Civilization IV: Colonization,2008-09-23,Strategy;Turn-Based;Turn-Based Strategy,1,9.99
GROUND BRANCH,2018-08-14,Early Access;Indie;Tactical,0,15.49
Tribes: Ascend,2012-06-27,Free to Play;FPS;Action,75,0.0
Children of the Nile: Enhanced Edition,2008-07-08,City Builder;Historical;Management,0,5.99
Children of the Nile: Alexandria,2008-09-22,City Builder;Simulation;Management,0,1.49
Hinterland,2008-09-30,Strategy;RPG;Fantasy,0,6.99
Mosby's Confederacy,2008-11-19,Strategy;Historical,0,6.99
Crysis,2008-09-17,FPS;Action;Sci-fi,105,9.99
Crysis Warhead®,2008-09-17,Action;FPS;Sci-fi,29,7.99
SPORE™,2008-12-19,Simulation;Sandbox;Open World,764,14.99
Mirror's Edge™,2009-01-14,Parkour;First-Person;Action,172,9.99
Need for Speed Undercover,2008-12-19,Racing;Open World;Multiplayer,1046,9.99
SPORE™ Creepy & Cute Parts Pack,2008-12-19,Simulation;Adventure;Open World,240,9.99
Dragon Age: Origins,2009-11-05,RPG;Fantasy;Story Rich,2889,14.99
Mass Effect,2008-12-19,RPG;Sci-fi;Story Rich,633,7.99
Dead Space,2009-01-09,Horror;Action;Sci-fi,178,14.99
Command & Conquer: Red Alert 3,2009-01-08,Strategy;RTS;Base-Building,395,9.99
Zombie Panic! Source,2008-10-03,Free to Play;Zombies;Multiplayer,86,0.0
"Pirates, Vikings, and Knights II",2010-02-12,Free to Play;Multiplayer;Action,197,0.0
Nuclear Dawn,2011-09-26,Strategy;FPS;Action,1184,6.99
Empires Mod,2008-07-28,Free to Play;Strategy;Action,1378,0.0
"Precipice of Darkness, Episode One",2008-05-21,RPG;Adventure;Comedy,7,5.99
"Precipice of Darkness, Episode Two",2008-11-07,RPG;Adventure;Comedy,0,5.99
DeathSpank,2010-10-25,RPG;Action;Indie,1008,7.99
DeathSpank: Thongs of Virtue,2010-11-30,Action;RPG;Indie,0,7.99
The Baconing,2011-08-31,RPG;Action;Adventure,14,9.99
Unstoppable Gorg,2012-01-19,Tower Defense;Strategy;Indie,37,6.99
Spectraball,2008-10-20,Casual;Indie;Puzzle,126,3.99
Crazy Machines 2,2008-06-20,Casual;Strategy;Puzzle,66,7.19
Crazy Machines,2008-12-12,Casual;Strategy;Puzzle,0,6.99
Helldorado,2009-04-30,Strategy;Western,0,6.99
Mata Hari,2009-07-29,Adventure;Point & Click;Female Protagonist,1,3.99
Defense Grid: The Awakening,2008-12-08,Tower Defense;Strategy;Sci-fi,686,6.99
Mayhem Intergalactic,2009-01-22,Indie;Strategy,0,6.99
And Yet It Moves,2009-04-02,Platformer;Indie;Puzzle,22,6.99
Zero Gear,2010-01-12,Racing;Indie;Action,373,3.99
Silent Hill Homecoming,2009-03-02,Horror;Adventure;Survival Horror,73,17.99
Puzzle Chronicles,2010-06-25,RPG;Casual;Puzzle,0,7.99
Rocket Knight,2010-06-25,Action;Adventure;Platformer,0,11.99
Biozone,2010-06-25,Action;Adventure;Casual,0,7.99
Tank Universal,2008-08-21,Action;Indie;Tanks,63,3.99
Space Ark,2012-03-16,Action;Casual;Indie,0,3.99
Eternity's Child,2008-07-31,Indie;Adventure;Platformer,9,2.99
Brothers in Arms: Earned in Blood™,2008-10-10,Action;FPS;World War II,164,4.29
Tom Clancy's Rainbow Six® 3 Gold,2008-09-25,Tactical;FPS;Action,61,4.29
Far Cry® 2: Fortune's Edition,2008-10-22,Open World;FPS;Action,229,8.59
Prince of Persia®,2008-12-10,Action;Adventure;Platformer,399,8.59
Galactic Bowling,2008-10-21,Indie;Casual;Sports,0,13.99
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,Open World;Atmospheric;Post-apocalyptic,779,7.99
Red Faction,2009-08-05,Action;FPS;Sci-fi,107,4.99
Company of Heroes: Tales of Valor,2009-04-08,Strategy;RTS;World War II,133,9.99
Red Faction II,2009-08-06,Action;FPS;Strategy,0,4.99
"Warhammer® 40,000: Dawn of War® II Chaos Rising",2010-03-11,Strategy;Warhammer 40K;RTS,249,14.99
Starscape,2008-11-03,Action;Indie;Strategy,12,5.99
Mr. Robot,2008-11-03,Indie;Strategy;Action,14,5.99
Shatter,2010-03-15,Great Soundtrack;Indie;Arcade,51,6.99
The Witcher: Enhanced Edition Director's Cut,2008-09-16,RPG;Fantasy;Story Rich,335,6.99
The Witcher 2: Assassins of Kings Enhanced Edition,2012-04-16,RPG;Fantasy;Mature,320,14.99
LEGO® Batman™: The Videogame,2008-09-29,LEGO;Action;Adventure,716,14.99
Watchmen: The End is Nigh,2009-03-04,Action;Superhero;Beat 'em up,0,3.99
Watchmen: The End is Nigh Part 2,2009-07-29,Action;Superhero;Beat 'em up,0,3.99
F.E.A.R.,2010-05-21,Horror;FPS;Action,498,35.96
F.E.A.R. 3,2011-06-21,FPS;Horror;Co-op,298,12.99
LEGO® Harry Potter: Years 1-4,2010-06-25,LEGO;Adventure;Action,989,9.99
Gravitron 2,2008-09-30,Arcade,0,2.99
Project Aftermath,2008-10-03,Strategy;Indie;Action,0,4.79
Pyroblazer®,2008-11-13,Racing;Sci-fi,0,4.99
Flock!,2009-04-07,Strategy;Casual;Puzzle,0,3.49
Street Fighter® IV,2009-07-07,Fighting;Action;Arcade,0,13.99
Bionic Commando,2009-07-28,Action;Adventure;Third Person,30,6.49
Bionic Commando: Rearmed,2009-07-28,Action;Platformer;Remake,16,6.49
Resident Evil™ 5/ Biohazard 5®,2009-09-15,Action;Zombies;Co-op,532,13.99
Driver® Parallel Lines,2009-02-13,Racing;Action;Open World,0,8.59
Tom Clancy's EndWar™,2009-02-25,Strategy;RTS;Tactical,655,8.59
Call of Juarez®: Bound in Blood,2009-07-02,Western;Action;FPS,13,8.59
World of Goo,2008-10-13,Puzzle;Indie;Physics,277,6.99
Mount & Blade,2008-11-03,RPG;Medieval;Open World,597,7.99
Penumbra: Black Plague Gold Edition,2009-01-23,Horror;Adventure;First-Person,189,0.0
Hearts of Iron 2 Complete,2009-01-23,Strategy;Grand Strategy;World War II,0,9.99
Penumbra Overture,2009-03-06,Horror;Adventure;First-Person,43,0.0
Zeno Clash,2009-04-21,Action;Indie;Surreal,307,6.99
Rock of Ages,2011-09-07,Comedy;Indie;Strategy,231,6.99
Fallout 3,2008-10-28,Open World;Post-apocalyptic;RPG,617,7.99
Rogue Warrior,2009-12-01,Action;FPS;Comedy,29,3.99
The Elder Scrolls III: Morrowind® Game of the Year Edition,2009-06-16,RPG;Open World;Fantasy,1183,12.99
The Elder Scrolls IV: Oblivion® Game of the Year Edition,2009-06-16,Open World;RPG;Fantasy,630,12.99
BRINK,2011-05-09,FPS;Action;Multiplayer,99,0.0
Fallout 3: Game of the Year Edition,2009-12-17,Open World;RPG;Post-apocalyptic,1076,14.99
Fallout: New Vegas,2010-10-21,Open World;RPG;Post-apocalyptic,1431,7.99
Hunted: The Demon’s Forge™,2011-06-02,Action;Adventure;Third Person,28,3.99
Spectromancer,2009-02-11,Strategy;Card Game,0,5.99
Worms Reloaded,2010-08-26,Strategy;2D;Turn-Based,420,14.99
Alien Breed: Impact,2010-06-03,Action;Shooter;Sci-fi,7,6.99
Alien Breed 2: Assault,2010-09-22,Action;Shooter;Isometric,96,6.99
Alien Breed 3: Descent,2010-11-17,Action;Shooter;Third Person,1,6.99
Fluttabyes,2010-04-20,Indie;Casual,0,1.59
Yosumin!™,2009-05-26,Casual;Puzzle,0,3.99
Gyromancer,2009-11-18,RPG;Puzzle;Match 3,73,3.99
Imperium Romanum Gold Edition,2008-11-25,Strategy;Simulation;City Builder,102,7.99
Europa Universalis: Rome - Gold Edition,2008-12-18,Strategy;Grand Strategy;Historical,4975,7.99
Grand Ages: Rome,2009-03-05,Strategy;City Builder;Simulation,319,6.99
Ceville,2009-02-27,Adventure;Point & Click;Strategy,0,4.79
Tropico 3,2009-11-13,Simulation;Strategy;City Builder,425,7.99
Puzzle Quest: Galactrix,2009-02-24,RPG;Casual;Match 3,0,6.99
Earth Defense Force: Insect Armageddon,2011-12-14,Action;Third-Person Shooter;Co-op,380,6.99
Depths of Peril,2010-11-23,Strategy;RPG;Indie,0,6.99
Puzzle Kingdoms,2009-04-27,Casual;Puzzle;Match 3,175,10.99
Train Simulator 2019,2015-09-17,Simulation;Trains;Singleplayer,385,34.99
DC Universe™ Online,2011-11-02,Free to Play;Superhero;Massively Multiplayer,3851,0.0
PAYDAY™ The Heist,2011-10-20,FPS;Action;Co-op,248,10.99
King Arthur - The Role-playing Wargame,2009-11-24,Strategy;RPG;Fantasy,6,7.99
Crusaders: Thy Kingdom Come,2009-10-08,Strategy;Medieval;Historical,0,6.99
Aquaria,2008-12-15,Metroidvania;Indie;Female Protagonist,64,6.99
King Arthur: Fallen Champions,2011-09-16,Strategy;RPG;Fantasy,13,3.99
King Arthur II: The Role-Playing Wargame,2012-01-27,Strategy;RPG;RTS,46,7.99
Trainz: Classic Cabon City,2010-09-01,Simulation;Trains,0,14.99
Trainz Settle and Carlisle,2010-10-01,Simulation;Trains,0,14.99
Trainz™ Simulator 12,2011-06-08,Simulation;Trains;Multiplayer,31,7.19
SPORE™ Galactic Adventures,2009-06-26,Simulation;Action;Space,2286,9.99
Burnout Paradise: The Ultimate Box,2009-03-12,Racing;Open World;Multiplayer,576,9.99
SimCity™ 4 Deluxe Edition,2010-07-20,Simulation;City Builder;Strategy,289,9.99
Command & Conquer 3: Tiberium Wars,2009-11-13,Strategy;RTS;Base-Building,693,9.99
Command & Conquer: Red Alert 3 - Uprising,2009-10-06,Strategy;RTS;Base-Building,205,9.99
Command & Conquer 3: Kane's Wrath,2009-11-13,Strategy;RTS;Base-Building,0,9.99
Medal of Honor: Airborne,2009-10-06,Action;World War II;FPS,28,9.99
Need for Speed: Shift,2009-10-06,Racing;Simulation;Multiplayer,456,9.99
Battlefield: Bad Company™ 2,2010-03-02,FPS;Multiplayer;Action,671,14.99
Mass Effect 2,2010-01-28,RPG;Sci-fi;Story Rich,736,19.99
Overgrowth,2017-10-16,Parkour;Action;Indie,1365,22.99
Lugaru HD,2010-10-08,Action;Indie;Martial Arts,13,7.99
Cricket Revolution,2009-10-28,Sports;Simulation;Indie,0,1.99
Eschalon: Book I,2009-02-10,RPG;Indie;Isometric,0,0.0
Eschalon: Book II,2010-07-12,RPG;Indie;Isometric,0,4.79
Madballs in Babo:Invasion,2009-09-17,Indie;Action;Shooter,54,3.99
Europa Universalis III Complete,2009-02-04,Strategy;Grand Strategy;Historical,1065,9.99
Knights of Honor,2009-02-04,Strategy;Medieval;Grand Strategy,35,7.49
Elven Legacy,2009-04-07,Strategy;RPG;Turn-Based Strategy,27,3.99
Hearts of Iron III,2009-08-07,Grand Strategy;World War II;Strategy,1364,7.99
King's Bounty: The Legend,2009-05-01,RPG;Strategy;Turn-Based Strategy,368,4.99
Supreme Ruler 2020 Gold,2009-07-09,Strategy;Simulation;Grand Strategy,400,6.99
East India Company,2009-07-31,Strategy;Economy;Historical,0,7.99
Majesty 2,2009-09-17,Strategy;Simulation;Fantasy,0,7.99
Majesty Gold HD,2009-09-04,Strategy;Simulation;Fantasy,72,7.99
The Maw,2009-03-09,Indie;Platformer;Cute,14,8.99
Drug Wars,2009-03-17,Action;Indie,0,3.99
Braid,2009-04-10,Puzzle;Platformer;Indie,251,10.99
Crayon Physics Deluxe,2009-05-06,Indie;Casual;Puzzle,26,15.99
The Path,2009-03-18,Walking Simulator;Indie;Horror,64,6.99
The Graveyard,2009-03-09,Walking Simulator;Indie;Short,0,3.99
Fatale,2009-11-04,Indie;Adventure;Casual,0,4.99
Summer Athletics,2009-04-02,Sports,0,15.99
Blacklight: Tango Down,2010-07-14,Action;FPS;Multiplayer,193,0.79
Dangerous High School Girls in Trouble!™,2009-02-23,Indie;RPG;Casual,105,14.99
Mevo and The Grooveriders,2009-03-20,Indie;Casual;Music,0,5.99
Space Giraffe,2009-03-19,Indie;Psychedelic;Arcade,0,6.99
Gridrunner Revolution,2010-02-22,Arcade;Indie;Psychedelic,9,5.99
Twin Sector,2009-09-16,Action;Adventure;Puzzle,0,3.99
Booster Trooper,2010-04-23,Action;Indie;Platformer,10,1.69
Dead Horde,2011-07-27,Action;Zombies;Indie,82,4.79
Kane & Lynch 2: Dog Days,2010-08-17,Action;Co-op;Third-Person Shooter,301,7.99
Yumsters 2: Around the World,2009-11-12,Casual;Indie,0,3.99
Musaic Box,2009-03-19,Indie;Casual;Puzzle,0,3.99
Blueberry Garden,2009-06-01,Adventure;Indie;Short,9,3.99
Osmos,2009-08-18,Indie;Casual;Puzzle,27,6.99
Caster,2009-03-19,Action;Indie;Adventure,160,0.99
Dark Sector,2009-03-24,Action;Third-Person Shooter;Singleplayer,0,6.99
Puzzle Agent,2010-07-01,Puzzle;Adventure;Point & Click,110,3.99
Tunnel Rats,2009-05-15,Action;FPS,0,15.99
Nancy Drew®: Danger by Design,2009-10-10,Adventure;Point & Click;Female Protagonist,0,5.19
Nancy Drew®: Last Train to Blue Moon Canyon,2009-10-10,Adventure;Point & Click;Mystery,0,5.19
Nancy Drew®: The Haunted Carousel,2009-10-10,Adventure;Point & Click;Mystery,0,5.19
Nancy Drew®: Curse of Blackmoor Manor,2009-10-10,Adventure;Point & Click;Mystery,0,5.19
Nancy Drew®: Danger on Deception Island,2009-10-10,Adventure;Point & Click;Mystery,0,5.19
Nancy Drew®: Ghost Dogs of Moon Lake,2009-10-10,Adventure;Point & Click;Mystery,0,5.19
Nancy Drew®: Legend of the Crystal Skull,2009-07-17,Adventure;Point & Click;Mystery,0,5.19
"Nancy Drew® Dossier: Lights, Camera, Curses!",2009-07-17,Adventure;Casual;Female Protagonist,0,5.19
Nancy Drew®: Secret of the Old Clock,2009-10-10,Adventure;Point & Click;Mystery,0,5.19
Nancy Drew®: Secret of the Scarlet Hand,2009-10-10,Action;Point & Click;Puzzle,0,5.19
Nancy Drew®: The Creature of Kapu Cave,2009-07-17,Adventure;Point & Click;Female Protagonist,0,5.19
Nancy Drew®: The Haunting of Castle Malloy,2009-07-17,Adventure;Point & Click;Puzzle,0,5.19
Nancy Drew®: The Phantom of Venice,2009-07-17,Adventure;Point & Click;Puzzle,0,5.19
Nancy Drew®: The White Wolf of Icicle Creek,2009-07-17,Adventure;Point & Click;Mystery,0,5.19
Nancy Drew®: Ransom of the Seven Ships,2009-07-21,Adventure;Point & Click;Puzzle,0,5.19
Raycatcher,2009-04-17,Indie;Casual,0,3.99
LUXOR: Mah Jong,2009-07-13,Casual;Puzzle;Singleplayer,0,5.99
Chainz 2: Relinked,2009-07-13,Casual;Puzzle;Match 3,0,6.99
Midnight Mysteries,2009-09-28,Adventure;Casual;Hidden Object,0,5.99
Everyday Genius: SquareLogic,2009-10-21,Casual;Puzzle;Indie,0,3.99
Zombie Bowl-o-Rama,2009-10-15,Bowling;Zombies;Casual,0,6.99
Metal Drift,2009-10-22,Action;Indie;Racing,173,6.99
Indiana Jones® and the Last Crusade™,2009-07-08,Adventure;Point & Click;Classic,194,4.79
LEGO® Indiana Jones™: The Original Adventures,2009-07-08,Adventure;Action;LEGO,0,15.49
LOOM™,2009-07-08,Adventure;Point & Click;Classic,28,4.79
STAR WARS™ Starfighter™,2009-07-08,Action;Simulation;Star Wars,8,4.79
